,date,user,body,entity_sentiment,symbol,buy_price,qty,buy_date,sell_date,fill_price,sell_price,win,canceled
2021-02-10T16:50:44Z,Ultra_Calls,$NAKD 1.50-1.60 this move, later tonight and tomorrow we&#39;ll see $2+,Bullish,NAKD,1.43,69.0,0.0,none,1.42,,,
2021-02-10T17:16:56Z,mrinvestorpro,$ENVB there she goes!!,,ENVB,4.86,20.0,0.0,none,,,,,
2021-02-10T17:46:34Z,Reformed_Trader,$NETE the chart is ready imho,Bullish,NETE,15.13,6.0,,,,,,,
2021-02-10T17:30:14Z,mrinvestorpro,$APDN just added this $12 dip guys this isn’t even close to being half way yet. Minimum $25-$35 wake up this will prob blow past $50 with testing news and $100 with cannabis and testing news. I won’t miss it holding every share and buying more🔥💚,,APDN,12.18,8.0,,,,,,,
2021-02-10T18:04:09Z,Michael_Hunt,$LAIX long this recent face ripper at $4.  Volume picking up, close to exploding here.,Bullish,LAIX,4.03,24.0,,2021-02-10T20:30:19.042326939Z,,3.63,,
2021-02-10T19:00:53Z,mrinvestorpro,$ENSV 🚨buying /adding more $ENSV  signal is unmistakable oil breaking upward again setting up to make recent highs guys remember this companies largest debt holder just converted it to all shares knowing a massive move is near. With near certainty I can tell u this stock will double or triple from here guys this is a major chance to catch one before the crowd it’s very close! 🚨buy alert 🚨 here now!🔥,,ENSV,2.715,36.0,,,,,,,
2021-02-10T19:08:08Z,Reformed_Trader,$PRFX red to green move!,Bullish,PRFX,5.69,17.0,,,,,,,
2021-02-10T19:08:08Z,Reformed_Trader,$PRFX red to green move!,Bullish,PRFX,5.69,17.0,,,,,,,
2021-02-10T19:12:37Z,mrinvestorpro,$ENSV buying 100,000 shares here while people are selling cheap. Minimum $5-$7 coming here to easy from this price with oil raging higher and 4 million of debt eliminated from their books small float and high short %. I’m not missing this one!🚨💚,,ENSV,2.735,36.0,,2021-02-10T20:30:18.978348895Z,,2.96,,
2021-02-10T19:18:14Z,Reformed_Trader,Long $ACST,Bullish,ACST,1.11,90.0,,,,,,,
2021-02-10T18:20:22Z,Michael_Hunt,$LAIX added the dip large.  Short at $4 is going to get wiped out here shortly.,Bullish,LAIX,3.692,27.0,,,,,,,
2021-02-10T19:38:43Z,mrinvestorpro,$SINT 😁,,SINT,3.24,30.0,,,,,,,
2021-02-10T19:39:33Z,mrinvestorpro,$APDN 💴,,APDN,12.41,8.0,,,,,,,
2021-02-10T19:43:23Z,Ultra_Calls,$SNDL MONSTER POT PLAY $$$$ PAY USSSSSS,Bullish,SNDL,2.9,34.0,,,,,,,
2021-02-10T19:52:54Z,mrinvestorpro,$QD beautiful nice steady daily climb here since my alert. Nice to see in a solid stock. Hope u all grabbed at $1.20-$1.40 when I alerted this as a buy🤝,,QD,3.17,31.0,,,,,,,
2021-02-10T19:54:57Z,mrinvestorpro,$LPTX looking beautiful on another safe hold alert since my buy alert. Hope everyone added the dip opportunities and didn’t panic and sell as I made very clear this was a major buy and hold✊🏼🤝,,LPTX,3,33.0,,,,,,,
2021-02-10T20:01:03Z,SpudZone,$ANCN was just up 250% will take a little scalp entry here, cat bounce 10-15%. Looking for 6+,,ANCN,5.213,19.0,2021-02-10T20:01:18.140562569Z,,5.3,,,
2021-02-10T20:03:57Z,mrinvestorpro,$MXC 50% so far guys not bad in 6 trading days 🤑,,MXC,11.7,8.0,,,,,,,
2021-02-10T20:08:23Z,SpudZone,$ANCN SL out 4k loss, went in small. GL!,,ANCN,5.05,19.0,2021-02-10T20:09:09.173203182Z,,5.04,,,
2021-02-10T20:17:20Z,Ultra_Calls,$RKDA HIGHS ON DECK $5.92 @YoungDolph ,,,,,,,,,,,
https://youtu.be/mXauczS9M5I,Bullish,RKDA,5.664,17.0,,,,,,,,,
2021-02-10T20:03:57Z,mrinvestorpro,$MXC 50% so far guys not bad in 6 trading days 🤑,,MXC,12.37,8.0,,,,,,,
2021-02-10T20:22:30Z,Ultra_Calls,$NAKD DIP BUY,Bullish,NAKD,1.38,72.0,,,,,,,
2021-02-10T20:08:23Z,SpudZone,$ANCN SL out 4k loss, went in small. GL!,,ANCN,4.9,20.0,2021-02-10T20:28:25.58840493Z,,4.8,,,
